ServerTime,ESP_ms,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR
2025-04-29 13:55:37.814416,19871,5.100,2.739,-7.216,-0.010,0.107,0.017,648
2025-04-29 13:55:37.834718,19891,4.889,2.646,-7.216,-0.016,0.107,0.033,605
2025-04-29 13:55:37.853756,19911,4.865,2.696,-7.166,-0.009,0.041,-0.014,578
2025-04-29 13:55:37.874860,19931,5.076,2.768,-7.118,-0.044,-0.021,-0.056,631
2025-04-29 13:55:37.897775,19951,5.181,2.610,-7.314,-0.036,0.016,-0.031,648
2025-04-29 13:55:37.913048,19971,5.121,2.567,-7.207,-0.019,0.080,0.015,718
2025-04-29 13:55:37.932661,19991,5.004,2.708,-7.214,0.031,0.082,0.007,717
2025-04-29 13:55:37.953758,20011,4.870,2.952,-7.195,-0.011,0.073,0.013,719
2025-04-29 13:55:37.969788,20031,4.887,2.569,-7.283,-0.070,0.039,0.005,732
2025-04-29 13:55:38.003576,20051,4.987,2.478,-7.278,-0.010,-0.008,-0.053,685
2025-04-29 13:55:38.012983,20071,5.164,2.863,-7.113,-0.006,0.005,-0.042,709
2025-04-29 13:55:38.033693,20091,5.241,2.753,-7.219,-0.046,0.052,0.001,748
2025-04-29 13:55:38.053806,20111,5.011,2.504,-7.309,-0.009,0.091,0.025,774
2025-04-29 13:55:38.074023,20131,4.860,2.686,-7.226,0.016,0.093,0.032,768
2025-04-29 13:55:38.081908,20151,4.911,2.854,-7.149,-0.020,0.032,-0.014,731
2025-04-29 13:55:38.113816,20171,5.030,2.667,-7.183,-0.056,-0.020,-0.055,646
2025-04-29 13:55:38.134085,20191,5.152,2.523,-7.185,-0.041,-0.002,-0.038,634
2025-04-29 13:55:38.154129,20211,5.258,2.679,-7.223,0.005,0.053,-0.010,607
2025-04-29 13:55:38.169015,20231,5.037,2.811,-7.219,0.006,0.105,0.037,610
2025-04-29 13:55:38.189248,20251,4.855,2.691,-7.171,-0.025,0.093,0.039,647
2025-04-29 13:55:38.214449,20271,4.930,2.624,-7.204,-0.030,0.010,-0.031,681
2025-04-29 13:55:38.233512,20291,5.085,2.698,-7.211,-0.028,-0.030,-0.068,675
2025-04-29 13:55:38.252879,20311,5.239,2.717,-7.183,-0.030,0.019,-0.022,678
2025-04-29 13:55:38.274781,20331,5.181,2.641,-7.247,-0.014,0.081,0.022,664
2025-04-29 13:55:38.294080,20351,4.966,2.643,-7.214,0.002,0.089,0.026,661
2025-04-29 13:55:38.314065,20371,4.927,2.734,-7.147,-0.011,0.051,0.002,609
2025-04-29 13:55:38.333548,20391,5.001,2.732,-7.185,-0.033,0.005,-0.035,593
2025-04-29 13:55:38.354367,20411,5.083,2.629,-7.221,-0.034,0.005,-0.035,654
2025-04-29 13:55:38.366133,20431,5.148,2.622,-7.166,-0.017,0.033,-0.014,661
2025-04-29 13:55:38.388125,20451,5.138,2.701,-7.230,-0.006,0.061,0.003,791
2025-04-29 13:55:38.421271,20471,4.987,2.737,-7.219,-0.008,0.078,0.021,822
2025-04-29 13:55:38.434307,20491,4.913,2.689,-7.166,-0.021,0.052,0.007,861
2025-04-29 13:55:38.454983,20511,5.018,2.650,-7.171,-0.034,-0.003,-0.041,953
2025-04-29 13:55:38.474153,20531,5.160,2.641,-7.173,-0.029,-0.008,-0.050,1083
2025-04-29 13:55:38.494373,20551,5.195,2.689,-7.211,-0.010,0.054,0.002,1407
2025-04-29 13:55:38.515151,20571,5.054,2.698,-7.240,-0.003,0.095,0.034,2078
2025-04-29 13:55:38.533449,20591,4.894,2.686,-7.223,-0.015,0.063,0.011,2492
2025-04-29 13:55:38.549338,20611,4.946,2.684,-7.190,-0.029,0.011,-0.028,2440
2025-04-29 13:55:38.563493,20631,5.138,2.691,-7.161,-0.031,-0.003,-0.043,2343
2025-04-29 13:55:38.601885,20651,5.203,2.655,-7.195,-0.027,0.025,-0.020,2232
2025-04-29 13:55:38.613150,20671,5.160,2.641,-7.180,-0.012,0.061,0.006,2241
2025-04-29 13:55:38.634013,20691,5.040,2.703,-7.202,-0.006,0.067,0.009,2454
2025-04-29 13:55:38.653596,20711,4.973,2.725,-7.221,-0.020,0.050,-0.005,2764
2025-04-29 13:55:38.670228,20731,4.973,2.693,-7.180,-0.032,0.022,-0.020,3093
2025-04-29 13:55:38.682941,20751,5.100,2.658,-7.192,-0.028,0.002,-0.039,3174
2025-04-29 13:55:38.716951,20771,5.162,2.662,-7.190,-0.014,0.029,-0.026,3436
2025-04-29 13:55:38.732314,20791,5.116,2.696,-7.216,-0.008,0.069,0.011,4551
2025-04-29 13:55:38.757796,20811,4.987,2.672,-7.216,-0.015,0.075,0.014,4575
2025-04-29 13:55:38.774572,20831,4.939,2.686,-7.180,-0.015,0.046,-0.006,3794
