ServerTime,ESP_ms,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR,Label
2025-04-29 14:38:13.748785,94115,-0.376,-1.056,10.654,0.008,0.024,-0.028,87117,awake
2025-04-29 14:38:13.768352,94135,-0.294,-0.895,10.637,0.045,0.037,-0.020,87335,awake
2025-04-29 14:38:13.784882,94155,-0.199,-0.800,10.772,0.073,0.038,-0.013,87461,awake
2025-04-29 14:38:13.915780,94175,-0.227,-0.924,10.879,0.023,0.040,-0.010,87577,awake
2025-04-29 14:38:13.915780,94195,-0.259,-1.113,10.807,-0.059,0.042,-0.012,87721,awake
2025-04-29 14:38:13.915780,94215,-0.251,-1.159,10.640,-0.090,0.045,-0.017,87913,awake
2025-04-29 14:38:13.915780,94235,-0.256,-1.109,10.534,-0.022,0.039,-0.012,88165,awake
2025-04-29 14:38:13.916430,94255,-0.271,-1.025,10.573,0.079,0.026,0.001,88365,awake
2025-04-29 14:38:13.920969,94275,-0.271,-0.977,10.738,0.124,0.022,0.006,88558,awake
2025-04-29 14:38:13.923895,94295,-0.275,-0.891,10.841,0.085,0.026,-0.002,88674,awake
2025-04-29 14:38:13.943594,94315,-0.251,-0.845,10.839,-0.011,0.035,-0.014,88633,awake
2025-04-29 14:38:13.956513,94335,-0.215,-0.871,10.819,-0.095,0.043,-0.025,88597,awake
2025-04-29 14:38:13.993874,94355,-0.211,-1.006,10.719,-0.135,0.044,-0.022,88629,awake
2025-04-29 14:38:14.008171,94375,-0.256,-1.176,10.609,-0.114,0.043,-0.015,88635,awake
2025-04-29 14:38:14.026565,94395,-0.323,-1.156,10.458,-0.019,0.038,-0.008,88723,awake
2025-04-29 14:38:14.043160,94415,-0.273,-0.960,10.575,0.109,0.030,-0.005,88863,awake
2025-04-29 14:38:14.067872,94435,-0.172,-0.833,10.805,0.144,0.022,0.005,88933,awake
2025-04-29 14:38:14.094231,94455,-0.172,-0.845,10.896,0.062,0.023,0.012,89077,awake
2025-04-29 14:38:14.103227,94475,-0.287,-0.898,10.877,-0.068,0.040,0.004,89290,awake
2025-04-29 14:38:14.130386,94495,-0.393,-1.044,10.774,-0.151,0.055,-0.025,89501,awake
2025-04-29 14:38:14.145852,94515,-0.347,-1.132,10.561,-0.135,0.053,-0.041,89684,awake
2025-04-29 14:38:14.170495,94535,-0.275,-1.113,10.487,-0.021,0.050,-0.037,89728,awake
2025-04-29 14:38:14.293630,94555,-0.244,-1.013,10.613,0.098,0.027,-0.023,89831,awake
2025-04-29 14:38:14.293630,94575,-0.141,-0.962,10.750,0.127,0.025,-0.015,89866,awake
2025-04-29 14:38:14.293630,94595,-0.113,-0.955,10.860,0.062,0.024,-0.004,89954,awake
2025-04-29 14:38:14.293630,94615,-0.201,-0.972,10.805,-0.034,0.031,0.001,90028,awake
2025-04-29 14:38:14.293630,94635,-0.299,-0.986,10.664,-0.066,0.033,-0.005,90071,awake
2025-04-29 14:38:14.293630,94655,-0.263,-0.915,10.594,-0.011,0.023,-0.005,90203,awake
2025-04-29 14:38:14.308333,94675,-0.242,-0.840,10.659,0.075,0.016,0.009,90287,awake
2025-04-29 14:38:14.328174,94695,-0.283,-0.893,10.779,0.091,0.012,0.009,90223,awake
2025-04-29 14:38:14.347181,94715,-0.230,-0.965,10.827,0.024,0.021,-0.010,89622,awake
2025-04-29 14:38:14.366711,94735,-0.227,-0.967,10.738,-0.042,0.029,-0.020,88751,awake
2025-04-29 14:38:14.392718,94755,-0.273,-0.977,10.635,-0.035,0.024,-0.015,88112,awake
2025-04-29 14:38:14.403340,94775,-0.283,-0.903,10.578,0.039,0.013,-0.011,87758,awake
2025-04-29 14:38:14.426849,94795,-0.227,-0.814,10.657,0.119,0.003,-0.004,87786,awake
2025-04-29 14:38:14.448676,94815,-0.204,-0.735,10.774,0.134,0.005,0.003,88056,awake
2025-04-29 14:38:14.463172,94835,-0.172,-0.781,10.886,0.063,0.014,0.002,88318,awake
2025-04-29 14:38:14.478738,94855,-0.199,-0.812,10.848,-0.044,0.029,-0.012,88569,awake
2025-04-29 14:38:14.503291,94875,-0.199,-0.860,10.714,-0.103,0.037,-0.018,88746,awake
2025-04-29 14:38:14.526899,94895,-0.254,-0.946,10.613,-0.078,0.039,-0.014,88888,awake
2025-04-29 14:38:14.549395,94915,-0.306,-0.912,10.542,0.017,0.036,-0.012,89091,awake
2025-04-29 14:38:14.677223,94935,-0.208,-0.783,10.611,0.106,0.021,-0.006,89348,awake
2025-04-29 14:38:14.677223,94955,-0.065,-0.745,10.788,0.117,0.023,0.001,89594,awake
2025-04-29 14:38:14.677223,94975,-0.127,-0.754,10.882,0.030,0.024,0.011,89737,awake
2025-04-29 14:38:14.677223,94995,-0.357,-0.867,10.807,-0.067,0.048,-0.000,89717,awake
2025-04-29 14:38:14.677223,95015,-0.323,-0.910,10.642,-0.081,0.057,-0.034,89724,awake
2025-04-29 14:38:14.677223,95035,-0.093,-0.740,10.594,0.008,0.038,-0.028,89652,awake
2025-04-29 14:38:14.677223,95055,-0.031,-0.761,10.683,0.099,0.024,0.011,89622,awake
2025-04-29 14:38:14.710989,95075,-0.254,-0.850,10.817,0.086,0.017,0.018,89609,awake
2025-04-29 14:38:14.726617,95095,-0.323,-0.888,10.812,0.010,0.040,-0.011,89626,awake
2025-04-29 14:38:14.744090,95115,-0.192,-0.797,10.743,-0.038,0.043,-0.034,89779,awake
2025-04-29 14:38:14.764549,95135,-0.148,-0.728,10.688,-0.020,0.049,-0.026,89920,awake
2025-04-29 14:38:14.782738,95155,-0.213,-0.747,10.690,0.028,0.044,-0.011,90130,awake
2025-04-29 14:38:14.813274,95175,-0.256,-0.745,10.750,0.051,0.043,-0.015,90206,awake
2025-04-29 14:38:14.827582,95195,-0.158,-0.737,10.779,0.041,0.046,-0.023,90381,awake
2025-04-29 14:38:14.847033,95215,-0.120,-0.757,10.783,0.014,0.045,-0.016,89920,awake
2025-04-29 14:38:14.862065,95235,-0.201,-0.761,10.709,-0.003,0.041,-0.009,90427,awake
2025-04-29 14:38:14.878362,95255,-0.275,-0.661,10.681,0.024,0.036,0.000,90548,awake
2025-04-29 14:38:14.928021,95275,-0.244,-0.611,10.745,0.053,0.034,-0.004,90744,awake
2025-04-29 14:38:14.932472,95295,-0.199,-0.637,10.827,0.027,0.034,-0.010,90945,awake
